Round,Date,Time,Team 1,FT,Team 2,Venue,Att,Comments
23,Mon Feb 22 2021,20:45,Juventus,,Crotone,Allianz Stadium,,
24,Fri Feb 26 2021,20:45,Torino,,Sassuolo,Stadio Olimpico di Torino,,
24,Sat Feb 27 2021,15:00,Spezia,,Parma,Stadio Dino Manuzzi,,
24,Sat Feb 27 2021,18:00,Bologna,,Lazio,Stadio Renato Dall'Ara,,
24,Sat Feb 27 2021,20:45,Hellas Verona,,Juventus,Stadio Marc'Antonio Bentegodi,,
24,Sun Feb 28 2021,12:30,Sampdoria,,Atalanta,Stadio Comunale Luigi Ferraris,,
24,Sun Feb 28 2021,15:00,Udinese,,Fiorentina,Dacia Arena,,
24,Sun Feb 28 2021,15:00,Inter,,Genoa,Stadio Giuseppe Meazza,,
24,Sun Feb 28 2021,15:00,Crotone,,Cagliari,Stadio Ezio Scida,,
24,Sun Feb 28 2021,18:00,Napoli,,Benevento,Stadio San Paolo,,
24,Sun Feb 28 2021,20:45,Roma,,Milan,Stadio Olimpico,,
25,Tue Mar 2 2021,,Juventus,,Spezia,Allianz Stadium,,
25,Tue Mar 2 2021,,Lazio,,Torino,Stadio Olimpico,,
25,Wed Mar 3 2021,,Benevento,,Hellas Verona,Stadio Ciro Vigorito,,
25,Wed Mar 3 2021,,Atalanta,,Crotone,Stadio Atleti Azzurri d'Italia,,
25,Wed Mar 3 2021,,Milan,,Udinese,Stadio Giuseppe Meazza,,
25,Wed Mar 3 2021,,Genoa,,Sampdoria,Stadio Comunale Luigi Ferraris,,
25,Wed Mar 3 2021,,Fiorentina,,Roma,Stadio Artemio Franchi,,
25,Wed Mar 3 2021,,Sassuolo,,Napoli,Stadio Città del Tricolore,,
25,Wed Mar 3 2021,,Cagliari,,Bologna,Sardegna Arena,,
25,Thu Mar 4 2021,,Parma,,Inter,Stadio Ennio Tardini,,
26,Sat Mar 6 2021,15:00,Spezia,,Benevento,Stadio Dino Manuzzi,,
26,Sat Mar 6 2021,18:00,Udinese,,Sassuolo,Dacia Arena,,
26,Sat Mar 6 2021,20:45,Juventus,,Lazio,Allianz Stadium,,
26,Sun Mar 7 2021,12:30,Roma,,Genoa,Stadio Olimpico,,
26,Sun Mar 7 2021,15:00,Fiorentina,,Parma,Stadio Artemio Franchi,,
26,Sun Mar 7 2021,15:00,Crotone,,Torino,Stadio Ezio Scida,,
