Round,Date,Time,Team 1,FT,Team 2,Venue
19,Mon Nov 2 2020,20:00,Grêmio,2-1,Bragantino,Arena do Grêmio
20,Sat Nov 7 2020,18:00,Atl Paranaense,2-1,Fortaleza,Estádio Joaquim Américo Guimarães
20,Sat Nov 7 2020,19:00,São Paulo,2-1,Goiás,Estádio do Morumbi
20,Sat Nov 7 2020,21:00,Atl Goianiense,1-1,Corinthians,Estádio Olímpico Pedro Ludovico Teixeira
20,Sun Nov 8 2020,16:00,Vasco da Gama,0-1,Palmeiras,Estádio Club de Regatas Vasco da Gama
20,Sun Nov 8 2020,16:00,Internacional,2-2,Coritiba,Estádio José Pinheiro Borba
20,Sun Nov 8 2020,18:15,Atlético Mineiro,4-0,Flamengo,Estádio Raimundo Sampaio
20,Sun Nov 8 2020,18:15,Bragantino,1-1,Santos,Estádio Nabi Abi Chedid
20,Sun Nov 8 2020,18:15,Bahia,1-0,Botafogo (RJ),Estádio Governador Roberto Santos
20,Sun Nov 8 2020,20:30,Ceará,0-0,Sport Recife,Estádio Castelão
20,Sun Nov 8 2020,20:30,Fluminense,0-1,Grêmio,Estadio Jornalista Mário Filho
18,Wed Nov 11 2020,18:45,Bahia,2-1,Fortaleza,Estádio Governador Roberto Santos
21,Sat Nov 14 2020,16:30,Sport Recife,0-2,Vasco da Gama,Estádio Adelmar da Costa Carvalho
21,Sat Nov 14 2020,16:30,Santos,2-0,Internacional,Estádio Urbano Caldeira
21,Sat Nov 14 2020,17:00,Goiás,0-1,Atl Paranaense,Estádio do Governo do Estado de Goiás
21,Sat Nov 14 2020,19:00,Grêmio,4-2,Ceará,Arena do Grêmio
21,Sat Nov 14 2020,19:00,Corinthians,1-2,Atlético Mineiro,Arena Corinthians
21,Sat Nov 14 2020,19:00,Fortaleza,2-3,São Paulo,Estádio Castelão
21,Sat Nov 14 2020,21:30,Palmeiras,2-0,Fluminense,Allianz Parque
21,Sat Nov 14 2020,21:30,Flamengo,1-1,Atl Goianiense,Estadio Jornalista Mário Filho
21,Mon Nov 16 2020,18:00,Coritiba,1-2,Bahia,Estádio Major Antônio Couto Pereira
21,Mon Nov 16 2020,20:00,Botafogo (RJ),1-2,Bragantino,Estádio Nilton Santos
6,Wed Nov 18 2020,19:00,Atlético Mineiro,0-2,Atl Paranaense,Estádio Raimundo Sampaio
16,Thu Nov 19 2020,19:00,Vasco da Gama,0-0,Fortaleza,Estádio Club de Regatas Vasco da Gama
22,Fri Nov 20 2020,20:00,Bragantino,4-0,Bahia,Estádio Nabi Abi Chedid
22,Sat Nov 21 2020,19:00,Flamengo,3-1,Coritiba,Estadio Jornalista Mário Filho
22,Sat Nov 21 2020,19:00,Atl Paranaense,1-0,Santos,Estádio Joaquim Américo Guimarães
22,Sat Nov 21 2020,21:00,Goiás,1-0,Palmeiras,Estádio de Hailé Pinheiro
22,Sun Nov 22 2020,16:00,São Paulo,1-1,Vasco da Gama,Estádio do Morumbi
22,Sun Nov 22 2020,16:00,Ceará,2-2,Atlético Mineiro,Estádio Castelão
22,Sun Nov 22 2020,18:15,Botafogo (RJ),1-2,Fortaleza,Estádio Nilton Santos
22,Sun Nov 22 2020,18:15,Internacional,1-2,Fluminense,Estádio José Pinheiro Borba
22,Sun Nov 22 2020,20:30,Corinthians,0-0,Grêmio,Arena Corinthians
22,Mon Nov 23 2020,20:00,Sport Recife,0-1,Atl Goianiense,Estádio Adelmar da Costa Carvalho
16,Wed Nov 25 2020,19:15,Ceará,1-1,São Paulo,Estádio Castelão
23,Wed Nov 25 2020,21:30,Atlético Mineiro,2-1,Botafogo (RJ),Estádio Raimundo Sampaio
23,Wed Nov 25 2020,21:30,Coritiba,0-1,Corinthians,Estádio Major Antônio Couto Pereira
23,Thu Nov 26 2020,20:00,Fortaleza,1-1,Goiás,Estádio Castelão
23,Sat Nov 28 2020,17:00,Santos,4-2,Sport Recife,Estádio Urbano Caldeira
23,Sat Nov 28 2020,17:00,Palmeiras,3-0,Atl Paranaense,Allianz Parque
23,Sat Nov 28 2020,19:00,Bahia,1-3,São Paulo,Estádio Governador Roberto Santos
23,Sat Nov 28 2020,21:00,Atl Goianiense,0-0,Internacional,Estádio Olímpico Pedro Ludovico Teixeira
6,Mon Nov 30 2020,18:00,Grêmio,2-1,Goiás,Arena do Grêmio
23,Mon Nov 30 2020,18:00,Vasco da Gama,1-4,Ceará,Estádio Club de Regatas Vasco da Gama
23,Mon Nov 30 2020,20:00,Fluminense,0-0,Bragantino,Estadio Jornalista Mário Filho
24,Wed Dec 2 2020,21:30,Fortaleza,0-0,Corinthians,Estádio Castelão
1,Thu Dec 3 2020,19:00,Goiás,0-3,São Paulo,Estádio de Hailé Pinheiro
24,Sat Dec 5 2020,17:00,Santos,2-2,Palmeiras,Estádio Urbano Caldeira
24,Sat Dec 5 2020,17:00,Botafogo (RJ),0-1,Flamengo,Estádio Nilton Santos
24,Sat Dec 5 2020,19:00,Fluminense,3-1,Atl Paranaense,Estadio Jornalista Mário Filho
